Experiment;Best solution DE
1;2369523053.8382115
2;1846800691.6556106
3;986822853.4819608
4;1607594512.895935
5;1783877380.3659978
6;1967094183.0518293
7;1836901031.501082
8;2106057254.2175624
9;2416506946.8899
10;2253179174.442438
11;2395316999.5331593
12;2064585747.7929099
13;1796906561.9720469
14;1633519491.837052
15;1467650347.4808426
16;1736966932.7030642
17;2155116051.76713
18;2353513487.7095113
19;2074567678.1189876
20;1553834181.1653724
21;2055166985.7099195
22;2173957277.495508
23;1808297558.4784846
24;1490702568.5458179
25;1206344679.4483962
26;1711146905.2776918
27;2101304871.7413435
28;1831462374.9794083
29;1523138802.5683932
30;1640123550.9248908
31;2148067269.9118223
32;2293788075.6244526
33;1934112193.8706872
34;2094785694.1244564
35;2147683657.5485945
36;2265035690.8353467
37;1623035662.814561
38;1770933754.8001347
39;1196564940.5272665
40;1533550980.4783065
41;1998065841.6895342
42;1494507525.8590007
43;2203551017.595214
44;2518189427.326951
45;2215423676.100768
46;1952835500.3906817
47;2190077845.9610124
48;1731445808.0455756
49;1572079093.1723623
50;1973788088.7630694
51;1805488865.4572723
52;1841905992.8333673
53;1926118160.1948137
54;2094270222.5050852
55;1773731710.7253048
56;1722811890.06501
57;1593470982.2712276
58;1534689675.12221
59;2044767299.5556672
60;2198289029.3985276
61;2022378190.0764918
62;2013735493.0933726
63;1207404094.2774217
64;769510835.5780324
65;2031988335.8004541
66;2314450379.309091
67;2127793704.1281948
68;1695784328.3220983
69;1558000019.5289755
70;2687119461.767718
71;2182647947.798733
72;1936961230.6000483
73;1980581341.422476
74;2296193557.1974583
75;1259919022.6248164
76;2362483043.7454033
77;2055031035.3057082
78;2363847678.7358017
79;1948103784.6766987
80;2354502070.4144845
81;1816921435.7587888
82;1980519161.9472327
83;2256486027.195052
84;1750088232.151337
85;2160035098.9423285
86;2532526593.073713
87;1341041696.0533419
88;2314384693.393915
89;1937785632.2348294
90;2230137261.5314445
91;939337097.4673759
92;2090825743.1748192
93;1838598939.6703959
94;1619656441.9883826
95;1936927043.7797775
96;2132641161.3812554
97;2424494714.8730907
98;1645460549.2526164
99;1537691480.3873384
100;2145645311.9947855
101;1623457805.776801
102;1425699610.9989357
103;2303949820.280942
104;1851271035.383661
105;2337388926.7677326
106;1960832839.1088595
107;1654991670.2059026
108;2288791363.8293843
109;2336436822.9401317
110;2058675029.519542
111;2238959766.9896026
112;2342495221.008451
113;1862761427.2144418
114;1511652022.1758325
115;1402772744.300633
116;2156503327.319572
117;2157798337.243765
118;1980087618.6236124
119;2299822683.03985
120;1950417509.1066375
121;2056721977.933977
122;2264366576.5177627
123;2125847346.5871685
124;1488602315.4887528
125;1830077141.7676692
126;2188316780.3561244
127;1552179568.1991735
128;1987579073.4006963
129;2086707677.9865804
130;1881109421.896343
131;1954478080.1956396
132;1981473722.7038813
133;1740469173.9614713
134;2691503993.9430437
135;2364494747.2083707
136;2017893042.751624
137;2166154884.4615316
138;2194270639.8225307
139;1647825747.2338016
140;2348104179.4649906
141;2040904259.894818
142;1939339122.6475465
143;1944130180.8299818
144;2068479182.7426052
145;1903256215.7885885
146;1575479392.250977
147;1925522798.4351072
148;1619821957.475093
149;2207641103.7855835
150;1834502198.6230178
151;2235260238.843597
152;2170821780.3638053
153;2448933245.113282
154;2011552731.7053246
155;1911156486.1010005
156;2515060511.106974
157;1726485896.0130615
158;2008794010.173137
159;2476105347.353537
160;2348628951.112557
161;2164814925.6119246
162;1720158628.6711535
163;1875961270.24686
164;1444371653.2923982
165;1256347766.9486337
166;1528368144.2511551
167;1149475825.4229548
168;1503825428.999066
169;1817083459.0153282
170;1635589550.924778
171;1952676566.5898948
172;1571507177.6678424
173;1875180797.6916618
174;1878744044.6544414
175;1887604030.057134
176;1963259480.39002
177;1933793567.9686828
178;1850502686.5436509
179;2555248026.5057354
180;2022820249.6797986
181;1688144070.802772
182;1569548320.0405872
183;1696572003.8422635
184;1460261467.5271258
185;2021033170.001048
186;1950595468.1384685
187;2102128372.509302
188;2170564602.66695
189;1970602180.002902
190;2197078121.70069
191;2064232837.9013808
192;2195559723.966598
193;1029600254.3375872
194;1976320055.6807039
195;2572333467.0086155
196;1598432940.374105
197;1954125584.0463998
198;1675223867.4776049
199;2030268009.4612985
200;2076408927.136386
201;2398068810.61744
202;1994107863.24349
203;1817438715.4555209
204;2235418708.338644
205;2164042506.1376176
206;2068436438.0187263
207;2125421675.4857454
208;1789119514.390131
209;2366107890.7993946
210;2039162403.4117577
211;1979575781.6895723
212;2117969478.6657395
213;2035205527.141314
214;1991859307.954128
215;1947368800.1819744
216;1639974691.1836405
217;1744351813.63216
218;1997413523.4071245
219;1818137851.855174
220;2226054181.831105
221;2180376519.8976603
222;1903049942.0843165
223;2243247717.241212
224;2436895463.47196
225;2000808154.6185465
226;1557504544.4929717
227;2050033579.1793535
228;1631213188.5402794
229;1703944123.363631
230;2156914804.3917594
231;1260478864.763555
232;1947813660.7352724
233;1621218806.2956407
234;1100597703.9778633
235;1885678915.2857485
236;1921200680.1615252
237;1988122155.021328
238;2462805164.127743
239;1714370030.2512863
240;1980982509.6725023
241;1859804147.332584
242;1193885090.2972987
243;2156770137.921461
244;1804559628.983802
245;1939325981.6797495
246;2288385593.5154376
247;1996749173.3221037
248;1964963963.0149016
249;2054147318.6896143
250;1945141938.9939666
Mean;1933592378.305641
Stddev;330123968.84497726
