Experiment;Best solution FA
1;12469.8538132582
2;12357.853898483234
3;12392.192133151404
4;12385.667717380633
5;12370.070646030765
6;12364.436919523288
7;12373.7215788443
8;12396.145856856483
9;12386.182232519332
10;12412.86876867768
11;12386.871704649475
12;12320.95841272705
13;12385.343617623872
14;12336.892289656635
15;12440.17092605782
16;12363.70894011142
17;12362.547533895095
18;12357.251958248233
19;12353.800561214119
20;12398.095964679167
21;12431.813679346322
22;12371.329025223979
23;12423.177770579552
24;12430.059826972445
25;12403.498886577254
26;12338.276598794186
27;12417.157225443389
28;12427.976868772728
29;12404.966107036267
30;12361.91660408831
31;12421.205298837236
32;12370.619180259107
33;12410.59674602655
34;12423.930157859528
35;12454.243244976224
36;12433.877389149877
37;12443.784000955065
38;12389.387227580553
39;12448.773163914138
40;12434.938771993928
41;12395.018694971079
42;12311.196675326413
43;12393.743504382379
44;12389.746149412003
45;12410.845756763241
46;12397.417353204943
47;12416.140045193271
48;12379.04053638251
49;12366.863556235214
50;12406.773437211834
51;12367.987963312942
52;12415.663760658059
53;12398.030093854559
54;12407.77659398414
55;12389.646854508685
56;12377.990456941408
57;12357.798514554383
58;12368.479777637573
59;12410.883968646534
60;12357.311979558674
61;12382.857339053626
62;12417.138870699564
63;12375.680504343085
64;12358.509313357978
65;12347.942227458754
66;12343.752120259269
67;12444.835401721879
68;12420.138490338844
69;12417.596089117023
70;12446.763107402965
71;12399.724973066266
72;12432.336366647345
73;12374.63790417782
74;12421.982630017243
75;12323.705620618859
76;12351.855125642269
77;12409.756676897232
78;12336.451173244204
79;12333.702265850996
80;12395.276994136788
81;12407.307164396883
82;12386.491062555462
83;12340.585367862226
84;12433.420942051218
85;12357.221528526277
86;12372.917550889546
87;12412.030065586961
88;12314.941398048491
89;12361.006399523483
90;12324.539155488612
91;12323.411357412524
92;12353.290592639909
93;12378.142745065805
94;12430.271076363553
95;12433.399048198648
96;12434.633402166923
97;12357.210237588028
98;12310.047663903215
99;12304.497221064255
100;12400.967970507301
101;12394.147157018695
102;12388.245028295954
103;12293.633111891924
104;12373.058335040141
105;12413.709678405525
106;12381.033134682539
107;12379.056918512466
108;12407.561225746671
109;12417.213578463148
110;12394.166451618856
111;12383.437874207437
112;12364.581212543766
113;12428.546918466513
114;12398.61558965711
115;12385.215848745733
116;12415.440573754742
117;12486.113849381494
118;12379.600220347587
119;12355.322245476496
120;12404.661955131056
121;12340.402892796796
122;12395.889920205354
123;12451.076087215053
124;12323.583512761521
125;12401.382744043502
126;12448.651537758635
127;12381.515268820716
128;12321.11594054886
129;12395.587012529228
130;12399.996297463307
131;12413.101709300858
132;12402.870394016407
133;12431.165060332814
134;12460.402321692776
135;12415.869567727852
136;12275.485744090904
137;12380.948346216352
138;12429.216235255784
139;12320.44587862843
140;12370.496396885348
141;12391.67417364563
142;12443.21388130104
143;12304.066288553047
144;12390.108405470219
145;12395.133258139651
146;12341.112815965264
147;12387.980385029005
148;12349.534470842282
149;12356.549995205642
150;12335.625314316181
151;12418.392079684365
152;12437.128334134672
153;12356.501528110612
154;12396.760942075798
155;12351.653476415502
156;12359.408268863257
157;12360.275733078377
158;12416.743416957626
159;12384.223750721621
160;12376.699637032707
161;12371.415248049241
162;12408.827204888978
163;12406.878966250975
164;12360.199482818434
165;12331.112019474287
166;12354.563597515344
167;12379.93393116522
168;12435.635594869975
169;12398.159396319776
170;12424.525217711413
171;12390.703623179586
172;12417.128950196124
173;12398.102022863297
174;12388.963947221668
175;12355.767976115932
176;12397.159204617203
177;12381.959326982864
178;12363.352491679156
179;12347.037960421494
180;12424.386029396383
181;12398.752093961291
182;12364.959948495118
183;12464.344738276657
184;12361.986334337518
185;12347.281078730262
186;12416.02840113136
187;12351.568698201747
188;12445.169986723835
189;12397.055484427465
190;12419.29627748242
191;12341.803034920347
192;12452.7372424435
193;12366.744062607571
194;12356.468967648476
195;12411.442286226435
196;12425.498763955708
197;12304.163351761073
198;12366.940666853556
199;12442.62497331119
200;12325.901195964372
201;12387.821500983526
202;12430.152221521574
203;12397.262677369963
204;12368.714870885235
205;12393.028726913575
206;12372.547429930715
207;12316.429742810358
208;12407.694660804673
209;12442.862130261768
210;12432.502950932292
211;12439.664245638878
212;12430.671704011502
213;12375.571588735624
214;12436.942575799458
215;12366.16521795453
216;12387.028809405507
217;12452.41600488369
218;12414.415650168943
219;12440.616025262645
220;12417.772376659328
221;12384.599843754568
222;12404.094226328612
223;12401.805189949357
224;12396.730411728886
225;12434.882806931766
226;12389.076533387917
227;12332.660197420864
228;12394.287768451299
229;12450.107833659129
230;12420.36383481953
231;12350.756958793698
232;12428.699772891332
233;12391.630115185568
234;12342.58905451975
235;12425.920847110243
236;12384.659332364055
237;12256.118019802418
238;12397.774634609774
239;12416.93756776179
240;12365.011773556755
241;12371.722474365779
242;12339.517612950189
243;12391.443798890487
244;12371.371774590587
245;12417.501043936767
246;12406.4482498304
247;12344.488432460335
248;12430.192930283052
249;12398.7031371427
250;12377.045962941009
Mean;12388.499388105509
Stddev;38.113285403030474
