Experiment;Best solution TLBO
1;2246725259.1731167
2;2560285171.305115
3;1996345953.3851533
4;1875280791.8604686
5;2407834355.7803326
6;1987380022.004219
7;2293280211.2417445
8;2106595284.5863202
9;1851120453.422308
10;1046053498.1756363
11;1568973733.348478
12;2335250532.3457575
13;2073507103.24489
14;2018438727.6693988
15;1653711306.3229218
16;1898902836.0919304
17;1939415664.2695746
18;2320994130.9612827
19;2022070422.6105914
20;2054259722.3880684
21;1994053545.4009619
22;2296036252.103076
23;2087929049.3202276
24;2193225453.766037
25;1673323675.8074136
26;1478374507.9905846
27;1325827351.544357
28;1204571244.2935047
29;1687034333.773853
30;1950794533.2822132
31;2790607771.2148595
32;1710207004.668906
33;2123392931.1737094
34;2461793543.0306163
35;1668634089.763775
36;1332489140.2499654
37;2533397349.5693693
38;1746258926.224381
39;1414157823.9847193
40;1502167725.105291
41;1978350969.9290147
42;2158891583.130194
43;2135039838.7466006
44;2200445551.0502415
45;2022255525.1154697
46;1155046763.7515347
47;2078151219.5031621
48;2035617719.6164787
49;2403537277.7709775
50;2211389484.1581745
51;1855742412.3861659
52;2268856761.2068825
53;2290443749.2778096
54;1659406032.699485
55;1971010629.6278958
56;2229841870.713971
57;1711544627.438552
58;2287504908.0395584
59;2243865098.160391
60;2243417080.7210593
61;1446434858.729137
62;2586221018.523087
63;1538503202.0964444
64;1900450454.432925
65;2536875856.4997115
66;1641739921.0698822
67;1912261906.2462564
68;1511888852.3800519
69;1796681518.5275772
70;1790000605.6213684
71;2398672454.295538
72;2176598059.784998
73;1489295465.2303724
74;2081164829.5273173
75;1278069434.616813
76;1115806003.9575763
77;1756040617.2669034
78;1553654963.271138
79;1518044903.1746056
80;2410047804.0763526
81;2221419693.5723553
82;2058324480.8878884
83;1894294659.6953456
84;2295374949.95512
85;1518179286.229196
86;1726419033.3184667
87;1509361872.332027
88;1613663908.7059054
89;2252230693.6469307
90;1389939391.0950584
91;2051736957.3669283
92;2328813790.0196714
93;2033689146.3446538
94;1894091347.6419346
95;2493519921.865501
96;1229611824.1448138
97;2576730752.029549
98;2050609965.6479373
99;1625030790.1341608
100;1516472852.3168588
101;2050285093.7468007
102;2484273652.7406764
103;2195426379.3261204
104;2514616252.269624
105;1830383179.4761047
106;2312169435.4870715
107;1768970145.5826757
108;1688689534.8645926
109;1597255278.8250463
110;1628600932.485709
111;2127672166.4039056
112;2259649136.070528
113;1879023901.0723016
114;2121626602.581242
115;2419340156.951117
116;2057739991.2967784
117;2269800593.065948
118;1621759091.4583106
119;1559422557.6636977
120;1741537521.8178723
121;1392521361.2748325
122;1547643183.2327442
123;1953967039.3439264
124;1249458204.3073447
125;1785454374.8976943
126;1712772543.811237
127;1501176671.9754183
128;2595941397.1724663
129;1285622253.4746463
130;1860535243.9563918
131;1305289718.097384
132;1892552759.7605503
133;1799057701.296164
134;1770481303.858296
135;1861996476.5706668
136;1407940234.0566196
137;1932102230.8560395
138;2105291928.3990207
139;1533477042.81997
140;1676529741.2159638
141;2144256053.4363554
142;1962602613.8038409
143;1836996328.3039036
144;2000426770.0508733
145;1656977207.4462404
146;2099894466.2279863
147;2121892330.5406592
148;2407841441.740753
149;2369028320.5414267
150;1747827962.175198
151;1687029948.8149564
152;1354882369.903796
153;2402098970.4968615
154;1941578941.85633
155;1516591970.4782827
156;2286501637.7631173
157;1622021706.022156
158;2057452192.2228422
159;1516490217.1801305
160;2085424918.7958941
161;2145820682.0535493
162;1790209033.1633146
163;1645788244.9495943
164;1536463351.0510242
165;1930495895.088936
166;2001464901.867042
167;1904238334.2552435
168;2603595524.826247
169;2268217983.1505613
170;2239225654.0603104
171;1819419911.3786705
172;2497100128.8220506
173;1946823816.143107
174;2005001881.6131341
175;1677972083.7959776
176;1305120633.6569495
177;1967607694.6016839
178;1900209269.8686962
179;1573448234.00202
180;1203526386.7814603
181;1614926324.9856339
182;1133960739.3236296
183;1682547726.518652
184;2423195309.614942
185;2207514087.9283247
186;1765955484.3873615
187;1225841314.0969167
188;2143724162.4115732
189;1917622506.6204982
190;2437974707.90606
191;2375718393.493414
192;1710303396.8732922
193;1536931473.6436236
194;1611987931.498074
195;1320976298.0547748
196;1162625856.7303903
197;2394641132.8004613
198;2259893099.9717846
199;1657776365.0376718
200;1699552325.2616403
201;1332024129.244091
202;2037717119.355441
203;2383513653.082061
204;1976756357.9212654
205;1364996403.3122168
206;2093703988.7876303
207;1831546603.1472468
208;2092047078.8614645
209;2170617221.74245
210;2596198533.116924
211;2173716189.9832892
212;1953948236.0099673
213;1923208895.7050326
214;2420705673.506461
215;1437213467.6915486
216;2336037570.792632
217;2153940755.443619
218;1649075066.8626516
219;1480433018.8844845
220;2021028664.576636
221;2198773848.5488415
222;2336580088.2797456
223;1953132724.7097874
224;1312943871.5085928
225;2166149592.6506386
226;1692587284.5764263
227;2032784913.2649975
228;1469280259.730889
229;1749738649.0299225
230;2149808303.101664
231;2167668378.961318
232;1973760410.6223528
233;1992929436.4151714
234;1675695323.5162697
235;1684885926.006652
236;1866245838.6822424
237;2127680170.541085
238;2691075286.306152
239;1793664726.3771365
240;2032114564.055454
241;1317089942.286939
242;1949578100.922281
243;2076283083.1119928
244;2194091974.6120243
245;1801072168.5541096
246;1988884540.3798275
247;1923582902.0420036
248;1856044776.1101437
249;1838674974.8537483
250;1689726393.6458497
Mean;1911125093.3074472
Stddev;360184596.3608177
